,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
54,"Butte, CA",6007,203171,206193,209120,211481,213065,214752,216824,217469,219034,219777,218635,219309,220101,220542,221578.0,222564.0,223877.0,225207.0,227075.0,225817.0,223344.0,217884.0,06007,28159.25396,941.5927901047123,0.02153818007180918,4.800451286155427,-0.16815066367622697,-0.29876373829877156
55,"Colusa, CA",6011,18804,19022,19232,19568,20207,20540,20890,21075,21134,21250,21165,21297,21329,21366,21424.0,21396.0,21361.0,21479.0,21464.0,21454.0,21491.0,21780.0,06011,925.63065,1421.5000633625607,0.015402787621072526,-0.0711854679542766,0.1629974606216284,-0.3599500288236184
56,"Contra Costa, CA",6013,948816,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,1024809,1037817,1052047,1065794,1081232.0,1096068.0,1107925.0,1123678.0,1133247.0,1142251.0,1147788.0,1161643.0,06013,3.1493700000000002,572.7453338706443,0.12000187351984613,-0.2362018397191016,-0.42266471272319955,0.6831829263742749
57,"Del Norte, CA",6015,27507,27292,27397,27601,27950,28281,28211,28415,28496,28599,28471,28561,28496,28357,28066.0,27788.0,27628.0,27442.0,27424.0,27495.0,27692.0,27655.0,06015,993.75458,119.89692301234814,-0.027361174528467563,-0.058999243688608115,-0.7351415394005433,-0.7864212338988784
58,"El Dorado, CA",6017,156299,161101,165195,168331,171653,175003,176773,177694,179150,180455,179053,179878,180441,180982,181465.0,182093.0,183000.0,185015.0,186661.0,188563.0,190345.0,190568.0,06017,61.27654999999999,3856.265723039214,0.06306512596828871,-0.22580386574122221,1.8430471832136763,0.11537110256646405
59,"Fresno, CA",6019,799407,813021,829762,847193,861035,872470,883862,895933,909630,921478,908830,920623,930517,939605,948844.0,956749.0,963160.0,971616.0,978130.0,984521.0,990204.0,1003150.0,06019,140.71638000000002,2492.7146134991417,0.08953709714688116,-0.21159341745958932,0.9021625218014935,0.3793675351181022
60,"Glenn, CA",6021,26453,26450,26651,27016,27122,27393,27652,27775,28019,28100,27935,28027,28078,28054,28019.0,28029.0,27976.0,27935.0,27897.0,27976.0,28060.0,28675.0,06021,451.98818,680.5277394981808,0.004474673348845534,-0.15591213244889918,-0.3482921340090352,-0.46893258863834114
61,"Humboldt, CA",6023,126518,127520,128780,129754,130702,131497,132093,132001,132657,133744,133058,133585,134317,134613,134876.0,135034.0,135182.0,135490.0,135768.0,135940.0,136101.0,137014.0,06023,555.52735,783.3909028444361,0.022869725984157284,-0.13739071793418792,-0.27731395655775337,-0.2854846602782089
62,"Imperial, CA",6025,142361,143707,145640,148984,152259,156113,160505,164596,167917,172008,168052,171343,173487,175201,177026.0,178206.0,178807.0,179957.0,180216.0,180701.0,180580.0,180051.0,06025,55.89141,961.4616972302326,0.07454835408087973,-0.2267671766327404,-0.15444061656275213,0.22988963371205065
63,"Inyo, CA",6027,17945,18117,18394,18593,18578,18478,18370,18426,18318,18544,18434,18457,18474,18482,18439.0,18373.0,18326.0,18195.0,18085.0,17977.0,17930.0,18804.0,06027,2637.99179,2555.6747533272614,-0.027340783335141585,0.2351271137751647,0.9456066064640958,-0.7862178791030752
64,"Kern, CA",6029,661645,676574,694059,714272,736296,760726,784511,803281,818327,830137,815693,829254,839153,848204,857730.0,865736.0,871337.0,878744.0,883053.0,887641.0,892458.0,905644.0,06029,251.75569000000002,2361.3269526821623,0.09411016154361997,-0.19173035415767642,0.8115017215596751,0.42497323174050794
65,"Kings, CA",6031,129461,132881,135369,139393,143601,145147,147712,150420,152027,152278,151122,152335,151982,151806,151390.0,150998.0,150261.0,150183.0,150075.0,150691.0,151090.0,151887.0,06031,602.58043,588.8630061596009,-0.00021174944746628552,-0.12897371402278057,-0.4115431122725479,-0.5156687720267358
66,"Lake, CA",6033,58309,60219,61513,62496,63116,63811,64202,64077,64392,64413,64371,64392,64360,64260,64209.0,64158.0,64076.0,64095.0,64148.0,64195.0,64276.0,67749.0,06033,346.98728,1379.8294531559256,-0.0014758198567677992,-0.17469502585356664,0.13424368843018225,-0.5282749386132103
67,"Los Angeles, CA",6037,9519338,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,9758256,9787747,9840024,9893481,9974203.0,10038388.0,10057155.0,10105722.0,10098052.0,10081570.0,10040682.0,10019635.0,06037,177.82450999999998,1188.2283870221036,0.02894226181399627,-0.2049553976879822,0.002034119625430056,-0.22492521856515946
68,"Madera, CA",6039,123109,125581,128369,132738,137106,140313,143622,146067,148359,149234,147738,149611,150615,151435,152452.0,153187.0,153366.0,154440.0,155013.0,155433.0,155925.0,156304.0,06039,332.11804,1813.447957436573,0.05541566827762661,-0.1773548825779225,0.4334513944909898,0.03908552762134718
69,"Marin, CA",6041,247289,247866,246225,245054,243769,244206,244580,246248,248398,250862,248601,250666,252759,254643,256802.0,258349.0,259358.0,260814.0,260295.0,259943.0,259441.0,262387.0,06041,33.83082,1366.6781323013618,0.04360400802892989,-0.23071344481152814,0.12516894529602643,-0.078708351313124
70,"Mendocino, CA",6045,86265,86841,87364,88140,88030,87981,87345,87071,87468,87722,87487,87525,87577,87497,87612.0,87544.0,87409.0,87497.0,87422.0,87224.0,87110.0,91534.0,06045,902.44779,508.10930747163644,-0.004309211654302925,-0.07533249134355544,-0.46726520139426414,-0.5565314413694255
71,"Merced, CA",6047,210554,218816,225351,231735,237180,242554,245338,248540,250538,252302,250699,253606,256398,258707,261609.0,263885.0,265001.0,267390.0,269075.0,271382.0,273661.0,279150.0,06047,412.63615999999996,779.8467464665678,0.09159190902237345,-0.16295154636743076,-0.27975951386048425,0.39985951136856707
72,"Monterey, CA",6053,401762,407082,408977,409725,408731,405139,401831,402376,406022,410263,407435,411385,416199,420569,424927.0,428441.0,430201.0,433168.0,433212.0,433410.0,432977.0,438953.0,06053,178.07489,742.7071683812458,0.0626897541939205,-0.20491060892092722,-0.3053867595920991,0.11162764090109611
73,"Napa, CA",6055,124279,126818,128744,130138,130387,130381,131440,132583,134093,135280,134051,135377,136644,137837,139253.0,140295.0,140823.0,141005.0,140530.0,139623.0,138572.0,138795.0,06055,5484.60587,1842.0963918875282,0.03372596996665448,0.7443384522386025,0.4532195369242191,-0.17721883968804616
74,"Nevada, CA",6057,92033,93715,94647,95606,96512,97250,97549,97794,98200,98591,98186,98392,98521,98509,98606.0,98570.0,98639.0,98838.0,99092.0,99244.0,99417.0,102090.0,06057,68.06352,3208.8903950397826,0.012537428961359053,-0.22458979106137972,1.3963418767314,-0.3885253267884722
75,"Orange, CA",6059,2846289,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,2965525,2989948,3021840,3051771,3086331.0,3116069.0,3132211.0,3155816.0,3164182.0,3168044.0,3170345.0,3182923.0,06059,32.57512,2786.0860213113615,0.06906702860370423,-0.23093806840283299,1.1045961935400765,0.17522614220753624
76,"Placer, CA",6061,248399,263615,276907,290726,302841,312762,321934,329023,337568,343810,336477,343554,350074,355924,361518.0,366280.0,370571.0,374985.0,380077.0,385512.0,391799.0,400330.0,06061,17.04567,3541.7687438125085,0.16441539837789804,-0.23371602558208682,1.6260363343026425,1.1261046884322161
77,"Riverside, CA",6065,1545387,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,2109464,2154844,2192982,2228528,2266899.0,2298032.0,2323892.0,2355002.0,2383286.0,2411439.0,2437864.0,2409331.0,06065,92.44653,3750.985051142501,0.15567935741022365,-0.22022808104065664,1.7704008638804771,1.038982968839379
78,"Sacramento, CA",6067,1223499,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,1395144,1408480,1422348,1435207,1450277.0,1465832.0,1479300.0,1495400.0,1510023.0,1524553.0,1537948.0,1571767.0,06067,1.69227,979.033840439325,0.10235789280533049,-0.23646249038000017,-0.14231539448790817,0.5072251960935446
79,"San Benito, CA",6069,53234,54644,55056,55198,54849,54647,54124,54072,54267,54436,54492,54873,55467,56115,56888.0,57557.0,58051.0,58671.0,59416.0,60376.0,61547.0,63329.0,06069,1.5282299999999998,68.89334885470396,0.12946854584159143,-0.2364918343745193,-0.7703352921439317,0.7775909968657211
80,"San Bernardino, CA",6071,1709434,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,2005287,2023452,2041029,2056915,2078586.0,2094769.0,2106754.0,2121220.0,2135413.0,2149031.0,2162532.0,2171071.0,06071,148.8613,3650.9633275208334,0.07841520939396705,-0.21013642838473812,1.7013833515150047,0.2684525348636634
