GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
16021,452,96900,0.0696,0.13383,2.61,0.05916,0.41994,0.10267,0.1547,0.19609,0.19097,3.22743,80.5,0.9963,0.47949,2839,2733,11205,16.2,56.73184,560.22693,5.06534,0,75.98014,0
16007,345,72600,0.06941,0.15551,2.81,0.06161,0.44262,0.08421,0.09515,0.11659,0.06028,3.36429,89.6,1,0.45906,3802,3615,10049,52,79.55077,492.90282,7.7991,0,34.31602,0
39159,574,128800,0.07595,0.09634,2.7,0.05038,0.46079,0.10575,0.0431,0.21239,0.07347,34.84942,89.9,0.99892,0.60935,3761,4037,67735,53.4,52.06678,318.51182,9.04447,5.13335,10.02224,3.17779
39035,541,113800,0.06528,0.15579,2.39,0.00001,0.48794,0.25321,0.12868,0.34118,0.00521,1345.51026,85.5,0.999,0.47731,4903,4733,2269258,94.4,85.6398,503.67366,12.36031,20.28009,7.28849,2.76905
48285,366,55800,0.05893,0.21832,2.44,0.11515,0.47028,0.13194,0.1291,0.17055,0.15585,9.9567,75.7,1,0.42806,2064,2106,17166,67.8,103.07132,510.15096,7.80843,13.01406,37.48048,1.56169
40105,354,41100,0.0651,0.17305,2.5,0.09244,0.45155,0.13541,0.13757,0.19554,0.22551,8.32817,81.5,1,0.42029,1717,1715,14396,48.4,90.83168,680.29142,10.4078,27.43874,32.16955,2.83849
13125,313,48600,0.06768,0.18232,2.44,0.00274,0.48747,0.13408,0.17175,0.16862,0.36242,8.26974,65.6,0.99596,0.55869,2623,2654,4765,101.2,97.80908,438.18466,3.91236,23.47418,0,0
41059,481,98100,0.07501,0.12305,2.67,0.03245,0.45504,0.15001,0.12083,0.31966,0.1867,8.6077,81.2,0.99932,0.36178,3114,3250,141584,51.6,58.39996,473.72002,8.6466,9.49708,13.60776,1.13398
46113,304,25900,0.1091,0.04765,4.36,0.01693,0.4861,0.43033,0.51219,0.44989,0.29843,1.49149,78.9,1,0.26873,1331,1313,16638,132.8,56.15274,801.37975,17.648,6.41746,235.03931,0
20117,324,46200,0.04952,0.22016,2.4,0.16781,0.44862,0.07929,0.08965,0.18284,0.04821,5.53887,90.1,0.99707,0.45928,3012,3017,19125,19.2,112.1751,355.67716,7.29594,3.64797,1.82399,0.91199
22065,334,46900,0.08202,0.11619,2.74,0.0193,0.53778,0.34459,0.33202,0.34204,0.11729,7.97802,72.1,1,0.38607,2282,2153,15863,99,90.32634,764.86014,14.56877,10.92657,19.66783,0
30105,351,59400,0.05498,0.18984,2.38,0.11583,0.45854,0.12124,0.13368,0.157,0.06829,0.98496,86.6,0.99946,0.50958,3299,3077,12925,75,96.41694,499.0228,3.9088,19.54397,22.14984,3.9088
13313,484,91800,0.08153,0.10268,2.82,0.0071,0.43653,0.14272,0.11367,0.31023,0.17398,105.94158,67.4,0.99954,0.33136,3886,3911,153964,68.2,59.86232,636.93505,11.85274,9.2188,6.46513,0.4789
20203,451,55300,0.08297,0.16002,2.59,0.10036,0.40404,0.07746,0.14658,0.22431,0.13584,1.55737,73.5,1,0.40261,4732,4464,4164,55.6,59.26511,383.24773,19.75504,0,11.85302,3.95101
46023,307,49100,0.08556,0.17316,2.74,0.15604,0.48274,0.16839,0.26332,0.27433,0.07994,3.51048,79.9,0.9995,0.42546,2945,2795,17616,172,93.04813,372.19251,8.55615,4.27808,8.55615,0
31027,350,55200,0.06053,0.20042,2.6,0.21955,0.44578,0.06123,0.08913,0.16714,0.08143,5.67391,89.4,1,0.43411,2748,2481,12825,57.8,92.5637,187.20749,6.24025,4.16017,15.60062,0
53035,667,152100,0.06697,0.10585,2.6,0.00138,0.44206,0.13419,0.0845,0.30371,0.09632,233.96722,92.3,0.90766,0.53601,2608,2488,298402,63,54.3176,498.51489,7.71655,4.91445,8.32008,0.77597
17111,761,168100,0.08117,0.08041,2.89,0.00653,0.4438,0.09754,0.03632,0.16158,0.00708,153.94608,91.1,0.99944,0.53549,2647,2941,440730,46.2,44.90978,237.27588,8.68973,3.53741,3.49896,0.769
30069,330,58300,0.07099,0.17039,2.34,0.29817,0.37553,0.08759,0.23124,0.18493,0.23288,0.17655,91.2,1,0.60852,4068,4238,996,0,40.56795,283.97566,20.28398,0,0,0
29033,323,48900,0.06407,0.20068,2.42,0.13291,0.45708,0.11567,0.13408,0.22136,0.10639,7.04888,85.8,1,0.44123,2018,2172,13512,83.8,105.00729,436.55809,5.83374,0,43.75304,0.97229
53075,482,119600,0.04843,0.09242,2.31,0.04308,0.47617,0.11717,0.22158,0.47703,0.09097,7.72262,95.2,0.99861,0.43174,3041,2925,43677,59,43.20079,360.57928,4.1728,10.8002,5.4001,0.49092
27147,471,102300,0.06891,0.13325,2.57,0.05341,0.47199,0.10499,0.06102,0.19164,0.04374,30.9766,89.6,0.99957,0.58361,2944,3084,53452,62.2,55.22565,254.15677,8.01663,12.47031,12.1734,0.29691
31169,321,38800,0.05665,0.24542,2.31,0.14385,0.48133,0.07451,0.10322,0.17928,0.02369,4.92211,87.3,1,0.43914,4617,3785,9610,71.4,120.56152,346.82081,4.95458,3.30306,19.81833,0
47033,393,65200,0.06407,0.15751,2.53,0.0512,0.4405,0.1631,0.16481,0.23037,0.13376,23.13869,76.6,0.99835,0.41543,1803,1779,15416,83,94.2747,781.03496,9.63391,19.26782,8.25764,0
19079,422,70500,0.0643,0.18019,2.43,0.089,0.47158,0.11087,0.06169,0.25727,0.03304,12.28064,90.8,0.99977,0.49161,3705,3637,20712,63.8,81.51843,318.77357,7.90851,1.21669,4.86677,3.04173
39165,613,142200,0.0781,0.09381,2.72,0.01042,0.45678,0.10414,0.04057,0.20478,0.01724,146.86585,89.8,0.99852,0.67063,2530,2723,261350,46.6,50.63675,337.09426,9.2813,4.73536,4.92477,3.28318
13255,537,86600,0.07496,0.11706,2.67,0.00972,0.46788,0.24812,0.1516,0.34772,0.10552,116.19601,74.6,0.99915,0.43232,2886,3124,82129,118.4,81.8255,754.91723,16.09121,7.01851,12.83873,0
34019,867,245000,0.06625,0.10024,2.69,0.01869,0.44929,0.0839,0.02481,0.15867,0.00384,104.7402,93.8,0.9998,0.57258,4984,4316,275119,35.4,48.03712,197.80472,8.93523,2.78714,7.54166,3.03306
29217,364,58500,0.06669,0.16339,2.44,0.09754,0.47586,0.1411,0.14154,0.24978,0.12635,10.63853,83.8,0.99948,0.43405,2223,2942,24263,139.4,94.84697,534.85871,8.80024,6.84463,26.4007,1.46671
18121,381,64900,0.05452,0.14674,2.51,0.058,0.44121,0.11476,0.10684,0.16806,0.18093,16.95033,80.1,0.99871,0.40392,1975,1905,18678,108,75.40166,522.01148,7.54017,0,33.64074,0.58001
